Utterance,Intent
I can't log in to my account with <email> because I didn't receive email confirmation.,account_information
I can't log in to my account because I didn't get email confirmation.,account_information
I have not received an e-mail confirmation and cannot log into my account with <email>,account_information
I have received no confirmation by e-mail and cannot log in to my account with <email>,account_information
I couldn't log in to my account with <email> because I didn't get email confirmation.,account_information
I can't log in to my account with <email> because I didn't get email confirmation.,account_information
I can't log in to my account with <email> because I didn't get an email confirmation.,account_information
i did not get any email confirmation and cannot log in to my account with <email>,account_information
Can you check whether I have registered the correct email address <email>?,account_information
You can check if I registered the correct email address.,account_information
"If I registered the correct email address, can you check it?",account_information
Can you check if I have registered the correct email address <email>,account_information
Do you know if I registered the correct email address?,account_information
Are you able to check if I registered the correct email address?,account_information
Can you check to see if I registered the correct email address?,account_information
Can you check if I registered the correct email address <email>,account_information
"I'm out of my account, can you help me?",account_information
Can you help me with my account?,account_information
Can you help me get out of my account?,account_information
"I'm locked out of my account, can you help me?",account_information
"I'm locked out of my account, can you help?",account_information
Can you help me get back into my account?,account_information
"I'm out of my mind, can you help me?",account_information
"I am locked out of my account, can you help?",account_information
"I forgot my password, can you help?",account_information
Can you help me with my login information?,account_information
Can you help me with my password?,account_information
"I forgot my password, can you help me?",account_information
Can you help me remember my login information?,account_information
"I forgot my login information, can you help?",account_information
"I forgot my login information, can you help?",account_information
What is my password?,account_information
What is my email address?,account_information
What's my username?,account_information
I don't know what my name is.,account_information
What is my first name?,account_information
What is my username?,account_information
What is my name?,account_information
What is my username?,account_information
How to find a password?,account_information
How to find a name?,account_information
How to find a nickname?,account_information
How do I find the username?,account_information
How to find the person's name?,account_information
How to find a username?,account_information
How to find a person's name?,account_information
How to find username?,account_information
What is my password for?,account_information
What is my password?,account_information
What's my password for?,account_information
What's my password?,account_information
I don't know what my password is.,account_information
What is my password?,account_information
I want to purchase tickets for <keyword> <time>.,book_tour
I would like to buy tickets for <keyword> <time>.,book_tour
I want to buy tickets for <keyword> <time>.,book_tour
I want to purchase tickets for <keyword> <time>.,book_tour
I want to buy tickets for <keyword> <time> for <number_of_people>.,book_tour
I want to buy tickets to <keyword> <time> for <number_of_people>.,book_tour
I want to buy tickets for <keyword> <time>.,book_tour
I wanna buy tickets for <keyword> <time> for <number_of_people>.,book_tour
I want tickets for <keyword>.,book_tour
I would like to get tickets for <keyword>.,book_tour
I want to go to <keyword>.,book_tour
I want tickets to <keyword>.,book_tour
I need tickets for <keyword>.,book_tour
I would like to purchase tickets for <keyword>.,book_tour
I would like to purchase tickets for <keyword>.,book_tour
I want tickets for <keyword>.,book_tour
Please book a tour for C029 at E064.,book_tour
Please book a <keyword> tour for <number_of_people> at <time>,book_tour
"Please, book a tour for C029 at E064.",book_tour
There is a tour at <time>.,book_tour
There is a tour for C029 at <time>.,book_tour
There is a tour for C029 at E064.,book_tour
Please book a <keyword> tour for <number_of_people> at the <time>,book_tour
"Please, book a <keyword> tour for <number_of_people> at <time>",book_tour
I need <keyword> cards for <date>,book_tour
I need tickets for <date>.,book_tour
I need <keyword> tickets.,book_tour
I need <keyword> tickets for <date>,book_tour
I need tickets for D05.,book_tour
I need <keyword> tickets.,book_tour
I need tickets for that event.,book_tour
I need <keyword> tickets for <date>,book_tour
I am interested in the reservation of the <keyword>,book_tour
I'd like to book the <keyword>.,book_tour
I am interested in booking the <keyword>,book_tour
I would like to book the <keyword>.,book_tour
I would love to book the <keyword>.,book_tour
I'm interested in booking the <keyword>.,book_tour
I would like to book the <keyword>.,book_tour
